model,rank,parameters,vocabulary_size,context,speed,generative_type,commercial,merge,norec,norne_nb,norne_nn,scala_nb,scala_nn,norquad,norec_version,norne_nb_version,norne_nn_version,scala_nb_version,scala_nn_version,norquad_version
utter-project/EuroLLM-1.7B (few-shot),3.79,,128000.0,4096,2755.85,🧠,✓,✗,20.16 ± 3.23 / 31.76 ± 3.09@@20.158206860675257,35.32 ± 2.17 / 36.55 ± 2.22@@35.317790667101804,37.53 ± 1.51 / 38.81 ± 1.24@@37.52603151785775,0.88 ± 1.13 / 47.76 ± 2.82@@0.8808243749629248,-0.57 ± 0.67 / 36.58 ± 3.14@@-0.5688689740400874,42.62 ± 5.08 / 26.97 ± 3.98@@42.615966575960826,14.1.2@@140102,14.2.0.dev0@@140200,14.2.0.dev0@@140200,14.2.0.dev0@@140200,14.2.0.dev0@@140200,14.3.0@@140300
AI-Sweden-Models/gpt-sw3-6.7b (few-shot),3.79,7111057408.0,64000.0,2048,2285.21,🧠,✓,✗,18.23 ± 9.28 / 38.93 ± 6.44@@18.23278825084591,22.35 ± 7.84 / 23.89 ± 4.74@@22.3466839388815,21.98 ± 7.52 / 27.22 ± 4.97@@21.979001488143727,1.68 ± 1.35 / 39.93 ± 2.78@@1.6766517784285957,2.49 ± 1.88 / 40.26 ± 3.23@@2.4898604369812785,64.25 ± 3.13 / 41.80 ± 3.14@@64.25135183282516,11.0.0@@110000,11.0.0@@110000,11.0.0@@110000,11.0.0@@110000,11.0.0@@110000,11.0.0@@110000
microsoft/infoxlm-base,3.8,278043648.0,250002.0,514,42712.15,🔍,✓,✗,18.06 ± 12.33 / 33.00 ± 7.87@@18.059959584965963,81.60 ± 1.77 / 83.89 ± 1.50@@81.59783323439436,78.80 ± 0.38 / 81.73 ± 0.45@@78.8044422671137,1.15 ± 2.73 / 44.68 ± 4.44@@1.1527021481625626,-1.15 ± 2.22 / 43.36 ± 4.11@@-1.1512436977162173,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
AI-Sweden-Models/gpt-sw3-1.3b (few-shot),3.82,1444532224.0,64000.0,2048,4607.55,🧠,✓,✗,27.28 ± 4.39 / 49.18 ± 4.23@@27.27649338603727,13.49 ± 7.98 / 14.80 ± 7.68@@13.490444952145552,14.74 ± 8.45 / 15.09 ± 7.85@@14.743126782716368,3.09 ± 0.79 / 42.87 ± 3.49@@3.089959840546765,1.86 ± 1.90 / 38.18 ± 1.44@@1.8579175536445713,54.30 ± 2.96 / 34.91 ± 2.65@@54.30103531323972,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301,12.5.1@@120501
ibm-granite/granite-3b-code-base-2k (few-shot),3.82,3482503680.0,49152.0,2048,2731.51,🧠,✓,✗,23.83 ± 3.47 / 45.39 ± 3.46@@23.827812312401957,53.93 ± 3.93 / 48.95 ± 4.17@@53.93209637150724,54.04 ± 1.83 / 49.74 ± 2.48@@54.04325023009561,3.91 ± 1.46 / 42.54 ± 4.53@@3.907643659436001,1.55 ± 2.39 / 40.63 ± 4.26@@1.5466342933309076,12.14 ± 1.07 / 2.37 ± 0.20@@12.144063114814841,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
meta-llama/Llama-3.2-1B (few-shot),3.82,1235814400.0,128256.0,131073,7577.45,🧠,✓,✗,29.50 ± 4.18 / 49.19 ± 4.59@@29.496413874340917,30.54 ± 3.75 / 29.88 ± 3.25@@30.53672641778903,31.34 ± 4.72 / 30.46 ± 4.56@@31.341953032763193,-0.13 ± 1.28 / 37.46 ± 3.25@@-0.12856424256844726,0.02 ± 1.75 / 39.49 ± 4.41@@0.02072808683648463,34.02 ± 8.33 / 19.59 ± 5.61@@34.01855009164429,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
EuropeanParliament/EUBERT,3.84,93923328.0,65636.0,512,20070.41,🔍,✓,✗,19.81 ± 2.15 / 40.90 ± 2.60@@19.80920995011757,49.92 ± 0.61 / 49.17 ± 0.71@@49.92208277780644,44.37 ± 1.15 / 43.43 ± 1.21@@44.372125746472406,8.64 ± 3.57 / 53.17 ± 1.93@@8.635752695902026,3.11 ± 1.16 / 50.44 ± 0.73@@3.1053533339894006,26.33 ± 2.41 / 15.89 ± 1.29@@26.332952222534647,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601
mhenrichsen/danskgpt-tiny-chat (few-shot),3.85,1100056576.0,32002.0,2048,1744.69,📝,✓,✗,27.49 ± 3.13 / 48.00 ± 3.89@@27.486517942666733,28.74 ± 4.18 / 28.29 ± 4.37@@28.739213972622657,30.34 ± 6.08 / 30.02 ± 6.42@@30.338036439488203,-2.17 ± 1.06 / 33.52 ± 0.37@@-2.17120079029684,0.26 ± 1.08 / 34.12 ± 0.45@@0.25614954654193006,38.96 ± 2.78 / 19.10 ± 2.33@@38.95656989055156,9.1.2@@90102,9.1.2@@90102,9.1.2@@90102,9.1.2@@90102,9.1.2@@90102,12.4.0@@120400
sentence-transformers/distiluse-base-multilingual-cased-v1,3.85,134734080.0,119547.0,512,34041.87,🔍,✓,✗,25.98 ± 1.33 / 40.58 ± 0.60@@25.980856042858935,60.76 ± 1.53 / 58.35 ± 1.41@@60.764088135453996,59.62 ± 1.19 / 55.90 ± 1.12@@59.622185881376936,2.65 ± 2.08 / 48.09 ± 1.42@@2.6478242139085193,3.47 ± 1.47 / 48.98 ± 1.75@@3.4685629249145755,0.82 ± 0.39 / 0.20 ± 0.09@@0.8207658058496105,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
HuggingFaceTB/SmolLM2-1.7B-Instruct (few-shot),3.85,1711376384.0,49152.0,8192,2631.13,📝,✓,✗,24.05 ± 3.58 / 40.36 ± 4.22@@24.04990890674033,37.60 ± 2.17 / 29.30 ± 2.43@@37.60433483892101,38.38 ± 2.48 / 30.13 ± 2.95@@38.38119714211274,3.56 ± 1.93 / 38.60 ± 3.52@@3.5590372181639034,2.61 ± 2.57 / 38.57 ± 3.89@@2.6096560886733156,25.34 ± 5.83 / 13.58 ± 3.16@@25.340904043806404,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100
ibm-granite/granite-7b-base (few-shot),3.86,6738415616.0,32000.0,2048,4405.37,🧠,✓,✗,16.98 ± 3.42 / 27.01 ± 3.17@@16.978062133722045,32.21 ± 1.63 / 31.19 ± 1.29@@32.211068383421235,36.62 ± 1.94 / 36.40 ± 2.17@@36.61876971850534,1.57 ± 1.20 / 41.68 ± 4.20@@1.5680850185146193,0.97 ± 1.79 / 40.10 ± 4.50@@0.9672936762252348,44.62 ± 2.11 / 26.28 ± 1.51@@44.62023604124662,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005
KBLab/albert-base-swedish-cased-alpha,3.89,14243584.0,50000.0,512,15925.14,🔍,✓,✗,18.85 ± 4.01 / 36.76 ± 2.79@@18.845600263123803,66.97 ± 1.30 / 62.99 ± 1.05@@66.9686652792725,63.90 ± 2.54 / 59.95 ± 2.51@@63.90317306092308,5.83 ± 2.36 / 51.59 ± 1.57@@5.830522131555377,4.02 ± 2.29 / 51.66 ± 1.21@@4.016440816629826,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
tiiuae/Falcon3-3B-Base (few-shot),3.92,3227655168.0,131072.0,32768,6469.55,🧠,✓,✗,13.83 ± 1.58 / 28.46 ± 0.84@@13.827667810513278,52.91 ± 2.25 / 45.31 ± 3.42@@52.91072416916217,49.25 ± 1.96 / 42.50 ± 3.35@@49.24920157412461,2.43 ± 2.02 / 46.63 ± 3.60@@2.42995968929831,1.50 ± 1.02 / 44.21 ± 4.03@@1.4999326347119373,25.33 ± 4.01 / 13.88 ± 2.42@@25.332078996127404,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
state-spaces/mamba-2.8b-hf (few-shot),3.94,2768345600.0,50280.0,32769,2721.51,🧠,✓,✗,31.06 ± 2.28 / 45.42 ± 3.29@@31.06181915836143,26.90 ± 1.65 / 24.65 ± 2.00@@26.895850097935238,34.59 ± 3.22 / 33.15 ± 3.49@@34.59432366142076,0.21 ± 1.21 / 36.38 ± 2.87@@0.20811160345839416,-0.17 ± 2.08 / 40.22 ± 3.88@@-0.17029311249674028,22.83 ± 1.06 / 10.35 ± 0.92@@22.831246114564998,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
HPLT/gpt-7b-nordic-prerelease (few-shot),3.96,7550013440.0,131072.0,4096,1382.06,🧠,✓,✗,17.44 ± 3.49 / 35.51 ± 4.10@@17.444613947343022,20.25 ± 6.26 / 20.45 ± 5.54@@20.24821781820681,28.99 ± 5.03 / 27.50 ± 4.36@@28.98854444157402,3.20 ± 1.84 / 34.58 ± 0.97@@3.2036286342931075,2.61 ± 1.80 / 34.49 ± 1.46@@2.6056647603819227,40.73 ± 3.86 / 21.50 ± 2.60@@40.72815247361773,12.3.2@@120302,12.5.2@@120502,12.5.2@@120502,12.3.2@@120302,12.3.2@@120302,12.3.2@@120302
HuggingFaceTB/SmolLM2-1.7B (few-shot),4.01,1711376384.0,49152.0,8192,2616.53,🧠,✓,✗,23.25 ± 4.16 / 36.07 ± 4.20@@23.248504162805254,26.70 ± 4.42 / 24.56 ± 2.10@@26.699960602767685,28.23 ± 3.78 / 28.27 ± 2.80@@28.22809384709325,-0.47 ± 1.05 / 33.93 ± 0.92@@-0.4699935283275359,0.26 ± 0.74 / 33.32 ± 0.79@@0.2623136293966732,26.51 ± 4.94 / 13.40 ± 2.83@@26.509747902086296,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100
google/gemma-7b-it (few-shot),4.04,8537680896.0,256000.0,8192,1314.23,📝,✗,✗,6.69 ± 4.92 / 14.35 ± 5.69@@6.691163003835351,49.25 ± 3.16 / 46.33 ± 2.28@@49.25475157234776,43.51 ± 1.89 / 40.63 ± 1.88@@43.50674185404328,8.93 ± 1.34 / 52.49 ± 1.77@@8.931769663975542,7.19 ± 1.14 / 51.46 ± 1.53@@7.185037137219136,24.54 ± 0.72 / 1.35 ± 0.40@@24.542382675084582,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0.dev0@@150000,15.0.0.dev0@@150000
ibm-granite/granite-3.0-1b-a400m-instruct (few-shot),4.06,1334628352.0,49155.0,4096,7964.03,📝,✓,✗,19.55 ± 3.00 / 40.67 ± 3.28@@19.546372009121924,36.99 ± 2.08 / 28.69 ± 2.20@@36.99402232381866,37.27 ± 1.09 / 27.84 ± 2.23@@37.26577632091596,1.95 ± 1.15 / 43.75 ± 3.47@@1.9509070663692798,2.31 ± 0.84 / 46.79 ± 2.89@@2.309696216931424,19.74 ± 2.82 / 7.33 ± 1.88@@19.735469254055346,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200
alexanderfalk/danbert-small-cased,4.07,83450880.0,52000.0,512,30013.37,🔍,✓,✗,24.39 ± 1.60 / 40.44 ± 1.78@@24.391628116961208,42.18 ± 1.03 / 39.53 ± 1.04@@42.17724574112999,37.39 ± 1.81 / 34.88 ± 1.76@@37.39035723490602,7.29 ± 2.49 / 49.37 ± 3.58@@7.289827876096902,2.57 ± 1.78 / 46.00 ± 3.32@@2.570302073395801,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
Qwen/Qwen1.5-1.8B-Chat (few-shot),4.07,1836828672.0,151936.0,32768,8303.55,📝,✗,✗,19.85 ± 1.97 / 35.75 ± 1.74@@19.84819385458203,26.99 ± 3.92 / 24.61 ± 2.74@@26.98840329713998,25.74 ± 3.76 / 24.51 ± 2.96@@25.73876173165745,1.96 ± 1.33 / 44.22 ± 2.93@@1.9603015751247732,-0.01 ± 1.39 / 39.57 ± 2.97@@-0.007853320373272486,31.16 ± 3.40 / 16.33 ± 2.17@@31.159401078311838,11.0.0@@110000,12.5.2@@120502,12.5.2@@120502,12.1.0@@120100,12.1.0@@120100,12.5.0@@120500
jannesg/bertsson,4.08,124441344.0,50000.0,512,15313.79,🔍,✓,✗,23.21 ± 2.32 / 44.26 ± 2.95@@23.213760942882647,49.30 ± 0.97 / 46.11 ± 1.04@@49.30377998920971,46.11 ± 2.15 / 43.01 ± 2.05@@46.10905354252427,2.26 ± 1.47 / 45.07 ± 4.04@@2.262086458606258,-0.66 ± 1.81 / 44.50 ± 3.45@@-0.659614503392456,1.50 ± 0.80 / 0.68 ± 0.32@@1.4977749603142396,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
RuterNorway/Llama-2-7b-chat-norwegian (few-shot),4.09,,32000.0,4096,10889.7,📝,✗,✗,12.22 ± 1.17 / 23.50 ± 3.03@@12.216932987705668,21.04 ± 2.63 / 20.44 ± 2.47@@21.040151954819947,18.71 ± 2.67 / 19.91 ± 2.89@@18.709840509436923,-1.18 ± 1.40 / 35.70 ± 2.67@@-1.177416104644854,0.36 ± 1.28 / 37.66 ± 4.07@@0.3553682022596787,50.11 ± 1.80 / 26.86 ± 1.65@@50.10850412018609,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301,12.5.2@@120502
3ebdola/Dialectal-Arabic-XLM-R-Base,4.12,278043648.0,250002.0,512,12782.54,🔍,✓,✗,12.69 ± 4.51 / 32.23 ± 3.53@@12.687386931195993,55.55 ± 3.71 / 52.52 ± 3.51@@55.546190161147194,53.53 ± 3.03 / 50.23 ± 3.00@@53.528631720495454,2.79 ± 1.16 / 47.71 ± 2.00@@2.7919551015689708,1.66 ± 2.18 / 46.60 ± 2.87@@1.65544017155212,0.60 ± 0.72 / 0.00 ± 0.00@@0.6011555521050432,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
PleIAs/Pleias-1.2b-Preview (few-shot),4.12,1195468800.0,65536.0,2048,10756.07,🧠,✓,✗,19.42 ± 3.09 / 26.64 ± 4.19@@19.417416048635566,38.96 ± 2.67 / 36.82 ± 3.28@@38.959215978333674,40.42 ± 2.43 / 38.81 ± 2.83@@40.422211058407534,-0.13 ± 0.55 / 33.43 ± 0.23@@-0.13390006039428945,0.77 ± 1.22 / 33.80 ± 0.25@@0.766144708381094,10.27 ± 3.67 / 6.00 ± 2.35@@10.26789259118929,14.1.2@@140102,14.0.4@@140004,14.0.4@@140004,14.1.2@@140102,14.1.2@@140102,14.3.0@@140300
PleIAs/Pleias-3b-Preview (few-shot),4.14,3211926528.0,65536.0,4096,6513.19,🧠,✓,✗,18.74 ± 2.86 / 27.39 ± 3.91@@18.738560264137842,28.82 ± 3.76 / 28.03 ± 3.72@@28.818336411931377,27.81 ± 4.34 / 26.00 ± 4.14@@27.805777043494075,-0.46 ± 1.39 / 36.22 ± 3.32@@-0.46053962949729177,-0.84 ± 1.32 / 37.42 ± 3.48@@-0.8428503845722276,23.98 ± 3.22 / 14.06 ± 1.93@@23.977745346245513,14.1.2@@140102,14.0.4@@140004,14.0.4@@140004,14.1.2@@140102,14.1.2@@140102,14.3.0@@140300
allenai/OLMo-7B (few-shot),4.14,6888095744.0,50280.0,2049,5402.86,🧠,✓,✗,21.46 ± 5.63 / 38.36 ± 6.18@@21.46356392648084,34.42 ± 3.22 / 27.79 ± 2.40@@34.415976322160326,35.17 ± 4.05 / 30.70 ± 3.37@@35.174723699779996,0.34 ± 1.25 / 33.60 ± 0.50@@0.3407862331107331,0.26 ± 0.58 / 34.69 ± 3.11@@0.26025576818189566,9.85 ± 0.17 / 0.12 ± 0.04@@9.852212588145909,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502
Qwen/Qwen1.5-1.8B (few-shot),4.15,1836828672.0,151936.0,32768,5665.51,📝,✓,✗,22.82 ± 3.11 / 43.88 ± 3.10@@22.820030652553196,12.10 ± 5.58 / 12.85 ± 4.80@@12.09866383728572,13.42 ± 6.02 / 13.82 ± 5.16@@13.41942821487303,2.70 ± 2.16 / 47.68 ± 3.18@@2.6960336583763946,2.21 ± 1.46 / 42.80 ± 4.36@@2.2115158522464102,30.78 ± 3.64 / 16.31 ± 2.22@@30.77824960458962,10.0.1@@100001,12.5.2@@120502,12.5.2@@120502,12.1.0@@120100,12.1.0@@120100,12.1.0@@120100
ibm-granite/granite-3.0-1b-a400m-base (few-shot),4.16,1384956928.0,49152.0,4096,7808.38,🧠,✓,✗,17.59 ± 2.80 / 35.34 ± 4.36@@17.58794035303253,31.16 ± 1.45 / 30.20 ± 1.07@@31.16339848564791,29.73 ± 2.46 / 28.89 ± 2.68@@29.725551219365578,1.07 ± 1.90 / 44.05 ± 3.72@@1.0737455208262918,1.59 ± 1.56 / 41.39 ± 3.86@@1.5928300831828897,14.48 ± 2.08 / 6.92 ± 0.87@@14.476077146855221,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200
infly/OpenCoder-1.5B-Instruct (few-shot),4.21,1905650880.0,96640.0,4096,7719.75,📝,✗,✗,3.13 ± 1.68 / 12.21 ± 3.26@@3.1275851837521635,45.29 ± 4.14 / 38.23 ± 4.49@@45.28526891426914,44.59 ± 1.70 / 39.83 ± 3.34@@44.5897566418224,1.69 ± 1.69 / 39.45 ± 3.76@@1.6911460367313582,1.29 ± 1.29 / 36.56 ± 2.27@@1.2930582833837903,21.24 ± 2.22 / 8.06 ± 1.75@@21.239416631676004,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
mhenrichsen/danskgpt-tiny (few-shot),4.21,1100048384.0,32000.0,2048,8596.74,🧠,✓,✗,18.09 ± 6.14 / 31.83 ± 6.77@@18.094101717573547,27.37 ± 6.89 / 27.19 ± 7.19@@27.36825067812681,27.59 ± 6.34 / 28.03 ± 6.94@@27.591443168459833,-0.19 ± 1.93 / 41.38 ± 3.18@@-0.18550823350319678,-0.80 ± 0.89 / 40.66 ± 3.78@@-0.7969878868014189,16.14 ± 2.48 / 5.84 ± 1.36@@16.140986653552602,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,12.5.1@@120501
dbmdz/bert-tiny-historic-multilingual-cased,4.22,4575104.0,32000.0,512,78027.26,🔍,✓,✗,19.19 ± 2.87 / 37.36 ± 1.97@@19.19200034771333,46.11 ± 3.68 / 43.54 ± 3.44@@46.114522631224474,35.18 ± 4.90 / 33.22 ± 4.64@@35.17775652548195,2.76 ± 1.42 / 50.99 ± 0.83@@2.7633059968328246,0.42 ± 1.04 / 49.39 ± 0.80@@0.4236586136238311,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
PleIAs/Pleias-Nano (few-shot),4.29,1195468800.0,65536.0,2048,2519.09,🧠,✓,✗,22.22 ± 1.30 / 32.60 ± 1.49@@22.215973510880072,27.47 ± 4.87 / 27.10 ± 3.15@@27.47499749768647,23.82 ± 4.37 / 27.33 ± 3.71@@23.819662677490207,-2.06 ± 1.97 / 35.29 ± 1.70@@-2.06414730819028,-0.77 ± 1.41 / 35.74 ± 1.76@@-0.7730640756936759,6.45 ± 2.25 / 3.24 ± 1.47@@6.449288084648396,14.1.2@@140102,14.0.4@@140004,14.0.4@@140004,14.1.2@@140102,14.1.2@@140102,14.3.0@@140300
NbAiLab/nb-gpt-j-6B-v2 (few-shot),4.31,6050882784.0,50400.0,1024,2555.5,🧠,✗,✗,20.84 ± 6.06 / 35.78 ± 5.94@@20.84028440089652,5.29 ± 4.68 / 4.93 ± 4.38@@5.287235961864479,6.77 ± 6.18 / 6.78 ± 5.66@@6.767250276829379,0.45 ± 1.09 / 34.65 ± 1.93@@0.45247186877353684,0.48 ± 0.66 / 32.86 ± 0.34@@0.48197312556261174,22.78 ± 2.29 / 2.43 ± 0.61@@22.781665895163865,10.0.1@@100001,9.3.1@@90301,9.3.1@@90301,11.0.0@@110000,11.0.0@@110000,12.5.1@@120501
tiiuae/Falcon3-1B-Instruct (few-shot),4.33,1669408768.0,131072.0,8192,9270.37,📝,✓,✗,11.28 ± 0.71 / 22.46 ± 2.54@@11.282723632335086,29.25 ± 2.15 / 28.34 ± 2.25@@29.246942043718217,25.45 ± 1.96 / 24.62 ± 1.86@@25.45142277041187,1.52 ± 1.26 / 40.82 ± 4.08@@1.5228128280110758,0.52 ± 1.60 / 41.23 ± 4.21@@0.5196718220508124,20.43 ± 2.10 / 8.47 ± 0.94@@20.430440545487045,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102
microsoft/phi-2 (few-shot),4.34,2779683840.0,51200.0,2048,6084.61,🧠,✓,✗,10.02 ± 2.04 / 25.42 ± 2.12@@10.024482967630325,44.91 ± 2.05 / 41.39 ± 3.07@@44.914538899712944,41.47 ± 2.07 / 38.86 ± 2.05@@41.47296595267772,2.32 ± 2.05 / 42.94 ± 4.31@@2.3160891569271165,0.93 ± 1.80 / 41.51 ± 3.64@@0.9343590353606841,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
allenai/OLMo-7B-Twin-2T (few-shot),4.34,6888095744.0,50280.0,2049,5484.4,🧠,✓,✗,25.52 ± 3.72 / 41.44 ± 4.44@@25.522833703956426,9.06 ± 6.86 / 8.39 ± 6.41@@9.062988131619536,17.16 ± 6.21 / 16.00 ± 5.94@@17.16378517519098,0.68 ± 1.54 / 45.09 ± 2.63@@0.6786437184431562,0.17 ± 2.27 / 42.02 ± 4.30@@0.1738986773287837,6.96 ± 0.13 / 0.46 ± 0.07@@6.964882388683833,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502
Qwen/Qwen1.5-0.5B-Chat (few-shot),4.35,619570176.0,151936.0,32768,11740.04,📝,✗,✗,11.49 ± 1.38 / 27.12 ± 1.98@@11.491678660160602,29.52 ± 1.48 / 29.79 ± 1.62@@29.518663997466017,31.27 ± 1.30 / 31.91 ± 1.31@@31.270240488525253,0.29 ± 1.58 / 40.21 ± 4.22@@0.28689821246202146,-0.12 ± 1.48 / 39.92 ± 3.90@@-0.1168717687266277,17.09 ± 2.72 / 7.80 ± 1.19@@17.09429708626104,11.0.0@@110000,12.5.2@@120502,12.5.2@@120502,12.1.0@@120100,12.1.0@@120100,12.4.0@@120400
Qwen/Qwen1.5-0.5B (few-shot),4.36,619570176.0,151936.0,32768,11371.34,📝,✓,✗,6.31 ± 3.46 / 20.67 ± 2.69@@6.3064050362645885,34.46 ± 2.01 / 33.09 ± 2.32@@34.45902200157905,33.41 ± 2.21 / 33.91 ± 2.33@@33.409558227567146,-1.59 ± 1.08 / 36.27 ± 3.71@@-1.5931645686200733,0.61 ± 1.41 / 38.84 ± 5.10@@0.6126818799019289,16.20 ± 1.93 / 5.95 ± 1.53@@16.196273887713676,10.0.1@@100001,12.5.2@@120502,12.5.2@@120502,12.1.0@@120100,12.1.0@@120100,12.1.0@@120100
RabotaRu/HRBert-mini,4.4,80108160.0,200001.0,512,54950.85,🔍,✓,✗,15.07 ± 1.97 / 35.80 ± 1.15@@15.07145107537345,31.87 ± 2.26 / 30.31 ± 2.14@@31.87025396290305,32.47 ± 1.48 / 30.59 ± 1.43@@32.47158826752018,1.26 ± 1.26 / 48.42 ± 1.75@@1.2599210206480522,0.49 ± 1.58 / 45.93 ± 3.88@@0.4944942155695413,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
AI-Sweden-Models/gpt-sw3-126m-instruct (few-shot),4.41,186112512.0,64000.0,2048,7717.03,📝,✓,✗,5.13 ± 3.33 / 20.41 ± 3.12@@5.12943816556494,27.66 ± 2.00 / 28.61 ± 2.15@@27.663618083465895,30.88 ± 2.13 / 31.97 ± 2.10@@30.875690673161127,0.00 ± 0.00 / 33.25 ± 0.30@@0.0,0.00 ± 0.00 / 32.79 ± 0.34@@0.0,15.63 ± 2.64 / 7.55 ± 1.17@@15.631638713456269,9.3.2@@90302,11.0.0@@110000,11.0.0@@110000,11.0.0@@110000,11.0.0@@110000,12.4.0@@120400
NbAiLab/nb-gpt-j-6B@sharded (few-shot),4.43,,50400.0,1024,2630.15,🧠,✓,✗,20.64 ± 5.63 / 36.75 ± 3.29@@20.635826593493416,0.22 ± 0.21 / 1.66 ± 1.38@@0.2157578972279774,0.24 ± 0.40 / 1.43 ± 1.97@@0.23757627331715195,-0.99 ± 0.88 / 33.37 ± 0.27@@-0.9937648070395764,-0.15 ± 0.72 / 32.83 ± 0.34@@-0.15386066546968155,22.14 ± 2.25 / 0.53 ± 0.31@@22.13687198677739,10.0.1@@100001,9.3.1@@90301,9.3.1@@90301,10.0.1@@100001,10.0.1@@100001,12.5.1@@120501
allenai/OLMo-1B (few-shot),4.47,1176764416.0,50280.0,2049,8536.09,🧠,✓,✗,9.95 ± 3.92 / 29.01 ± 2.80@@9.94914653213466,30.79 ± 1.95 / 32.18 ± 1.98@@30.793958390242793,31.12 ± 2.36 / 33.10 ± 2.68@@31.115494119814247,-0.95 ± 1.87 / 39.37 ± 3.33@@-0.948961530495691,-0.04 ± 1.73 / 42.36 ± 4.61@@-0.03514644394560486,3.06 ± 0.05 / 0.00 ± 0.00@@3.0554759226558543,12.1.0@@120100,12.5.2@@120502,12.5.2@@120502,12.1.0@@120100,12.1.0@@120100,12.1.0@@120100
fresh-xlm-roberta-base,4.49,278043648.0,250002.0,512,2214.08,🔍,✓,✗,12.60 ± 2.97 / 32.27 ± 3.43@@12.601029574269281,25.49 ± 3.39 / 23.54 ± 3.23@@25.491882571898383,25.94 ± 1.70 / 24.10 ± 1.64@@25.940076129244805,0.50 ± 1.27 / 36.93 ± 4.00@@0.4987275988271341,1.83 ± 1.64 / 37.67 ± 4.40@@1.830053057068334,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
